Object property                Domain                         Range                          File                          
enumerationAndChronology       Item                           EnumerationAndChronology       bibframe.owl                  
heldBy                         Item                           Agent                          bibframe.owl                  
sublocation                    Item                           Sublocation                    bibframe.owl                  
shelfMark                      Item                           ShelfMark                      bibframe.owl                  
immediateAcquisition           Item                           ImmediateAcquisition           bibframe.owl                  
hasInstance                    Work                           Instance                       bibframe.owl                  
instanceOf                     Instance                       Work                           bibframe.owl                  
hasExpression                  Work                           Work                           bibframe.owl                  
expressionOf                   Work                           Work                           bibframe.owl                  
itemOf                         Item                           Instance                       bibframe.owl                  
hasItem                        Instance                       Item                           bibframe.owl                  
eventContent                   Event                          Work                           bibframe.owl                  
eventContentOf                 Work                           Event                          bibframe.owl                  
hasReproduction                Instance                       Instance                       bibframe.owl                  
reproductionOf                 Instance                       Instance                       bibframe.owl                  
role                           Contribution                   Role                           bibframe.owl                  
assigner                       AdminMetadata                  Agent                          bibframe.owl                  
descriptionConventions         AdminMetadata                  DescriptionConventions         bibframe.owl                  
descriptionLanguage            AdminMetadata                  Language                       bibframe.owl                  
generationProcess              AdminMetadata                  GenerationProcess              bibframe.owl                  
descriptionModifier            AdminMetadata                  Agent                          bibframe.owl                  
descriptionAuthentication      AdminMetadata                  DescriptionAuthentication      bibframe.owl                  
degree                         Thesis                         ThesisDegree                   bibliographic.owl             
presents                       Event                          Document                       bibliographic.owl             
presentedAt                    Document                       Event                          bibliographic.owl             
affirmedBy                     LegalDecision                  LegalDecision                  bibliographic.owl             
subsequentLegalDecision        LegalDecision                  LegalDecision                  bibliographic.owl             
performer                      Performance                    Agent                          bibliographic.owl             
citedBy                        Document                       Document                       bibliographic.owl             
cites                          Document                       Document                       bibliographic.owl             
presentedAt                    Document                       Event                          bibliographic.owl             
editor                         InformationResource            Person                         bibliographic.owl             
reversedBy                     LegalDecision                  LegalDecision                  bibliographic.owl             
subsequentLegalDecision        LegalDecision                  LegalDecision                  bibliographic.owl             
reproducedIn                   Document                       Document                       bibliographic.owl             
cites                          Document                       Document                       bibliographic.owl             
translator                     InformationResource            Agent                          bibliographic.owl             
subsequentLegalDecision        LegalDecision                  LegalDecision                  bibliographic.owl             
status                         Document                       DocumentStatus                 bibliographic.owl             
