#! Version: 24/05/2019_17:05:42

Algorithm: AgglomerativeClustering
Small clusters = 6 (with proportion < 2.50%)
Total clusters = 20
167        1          0.10       diploma   
168        4          0.38       computingMedia
169        8          0.77       territory 
170        9          0.87       manager   
171        1          0.10       connotation

Algorithm: MeanShift
Small clusters = 84 (with proportion < 0.59%)
Total clusters = 85
N°         Size       Part(%)    Center    
0          947        91.15      branchTo  
1          4          0.38       medalist  
2          2          0.19       influenced
3          1          0.10       billed    
4          1          0.10       citizenship
5          1          0.10       senator   
6          1          0.10       spouse    
7          1          0.10       denomination
8          1          0.10       tenant    
9          1          0.10       custodian 
10         1          0.10       breeder   
11         2          0.19       produces  
12         1          0.10       pastor    
13         1          0.10       trustee   
14         1          0.10       heir      
15         1          0.10       connotation
16         1          0.10       chaplain  
17         1          0.10       fossil    
18         1          0.10       regentOf  
19         1          0.10       flagBearer
20         1          0.10       causedBy  
21         1          0.10       disciple  
22         1          0.10       nominee   
23         1          0.10       ingredient
24         1          0.10       mythology 
25         1          0.10       altitude  
26         1          0.10       commune   
27         1          0.10       jockey    
28         2          0.19       fundedBy  
29         1          0.10       webcast   
30         1          0.10       constellation
31         1          0.10       garrison  
32         1          0.10       border    
33         1          0.10       narrator  
34         1          0.10       canton    
35         1          0.10       booster   
36         1          0.10       lunarRover
37         1          0.10       contractor
38         1          0.10       currency  
39         1          0.10       climate   
40         1          0.10       assembly  
41         1          0.10       march     
42         1          0.10       dam       
43         1          0.10       spacecraft
44         1          0.10       gender    
45         1          0.10       cinematography
46         1          0.10       incumbent 
47         1          0.10       autonomy  
48         1          0.10       photographer
49         1          0.10       hasAnnotation
50         1          0.10       almaMater 
51         1          0.10       presenter 
52         1          0.10       dynasty   
53         1          0.10       prefecture
54         1          0.10       shuttle   
55         1          0.10       compiler  
56         1          0.10       decoration
57         1          0.10       patent    
58         2          0.19       taxon     
59         1          0.10       damage    
60         1          0.10       parish    
61         1          0.10       artery    
62         1          0.10       depths    
63         1          0.10       bird      
64         1          0.10       diocese   
65         1          0.10       nerve     
66         1          0.10       license   
67         2          0.19       provost   
68         1          0.10       chain     
69         1          0.10       illustrator
70         1          0.10       vein      
71         1          0.10       translator
72         1          0.10       locomotive
73         1          0.10       explorer  
74         1          0.10       crosses   
75         1          0.10       derivative
76         1          0.10       torchBearer
77         1          0.10       alumni    
78         1          0.10       volumes   
79         1          0.10       resolution
80         1          0.10       wagon     
81         1          0.10       honours   
82         1          0.10       grades    
83         1          0.10       diploma   
84         1          0.10       crest     

