#! Version: 07/06/2019_16:37:26

Non english words: 

Word                           ObjectProperty                           Filename                                
sfor                           isWMSfor                                 data/ontologies/iridlcontent.owl        
lfor                           isKMLfor                                 data/ontologies/iridlcontent.owl        
metrix                         subjectScienceMetrix                     data/ontologies/istexXML.owl            
inist                          subjectInist                             data/ontologies/istexXML.owl            
metametadata                   metametadataPropertiesCategory           data/ontologies/lom.owl                 
args                           oc_Args                                  data/ontologies/lom.owl                 
metadata                       metaMetadata                             data/ontologies/lom.owl                 
metadata                       hasAssociatedMetadataRecord              data/ontologies/lom.owl                 
slor                           slorActionProperties                     data/ontologies/lom.owl                 
technicalrequirement           technicalrequirementProperty             data/ontologies/lom.owl                 
tipical                        tipicalAgeRange                          data/ontologies/lom.owl                 
interativity                   interativityLevel                        data/ontologies/lom.owl                 
slor                           slorCommonProperties                     data/ontologies/lom.owl                 
metadata                       metaMetadataContribution                 data/ontologies/lom_ontology_ods.owl    
metadata                       metaMetadataIdentifier                   data/ontologies/lom_ontology_ods.owl    
inherer                        inhererOf                                data/ontologies/MFOMD.owl               
fiducials                      has_fiducials                            data/ontologies/MGEDOntology.owl        
biosource                      has_biosource_type                       data/ontologies/MGEDOntology.owl        
contributer                    contributer                              data/ontologies/mod-ontology-09092016.owl
sponsered                      sponseredBy                              data/ontologies/mod-ontology-09092016.owl
soundmix                       hasSoundmix                              data/ontologies/movieontology.owl       
soundmix                       isSoundmixOf                             data/ontologies/movieontology.owl       
regexp                         has_regexp                               data/ontologies/ms.owl                  
paralogous                     paralogous_to                            data/ontologies/so.owl                  
orthologous                    orthologous_to                           data/ontologies/so.owl                  
coa                            coaRequested                             data/ontologies/STIX.owl                
coa                            coaType                                  data/ontologies/STIX.owl                
geolocation                    geolocation                              data/ontologies/STIX.owl                
coa                            coaTaken                                 data/ontologies/STIX.owl                
targetting                     targetting                               data/ontologies/STIX.owl                
malware                        malware                                  data/ontologies/STIX.owl                
argument1                      argument1                                data/ontologies/swrl.owl                
argument2                      argument2                                data/ontologies/swrli.owl               
argument1                      argument1                                data/ontologies/swrli.owl               
element2                       hasElement2PropertyValueMaps             data/ontologies/SWRLXML.owl             
argument2                      argument2                                data/ontologies/SWRLXML.owl             
attribute2                     hasAttribute2PropertyValueMaps           data/ontologies/SWRLXML.owl             
nonoverlap                     nonoverlap                               data/ontologies/time-entry.owl          
inforce                        produce_inforce_modification             data/ontologies/time-modification.owl   
uby                            hasUbyObjectProperty                     data/ontologies/ubyCat.owl              
hypernym                       hypernym                                 data/ontologies/WordNet.owl             
hypernym                       instance-hypernym                        data/ontologies/WordNet.owl             
holonym                        member-holonym                           data/ontologies/WordNet.owl             
holonym                        substance-holonym                        data/ontologies/WordNet.owl             
holonym                        part-holonym                             data/ontologies/WordNet.owl             
meronym                        member-meronym                           data/ontologies/WordNet.owl             
meronym                        substance-meronym                        data/ontologies/WordNet.owl             
meronym                        part-meronym                             data/ontologies/WordNet.owl             
pertainym                      pertainym                                data/ontologies/WordNet.owl             
synset                         synset                                   data/ontologies/WordNet.owl             
aggregateinput                 aggregateinput                           data/ontologies/wp1_dolce.owl           
cellid                         cellid                                   data/ontologies/WP7-OSWF-DuplicateDetection.owl
load15                         avgLoad15Min                             data/ontologies/WP7-OSWF-DuplicateDetection.owl
foaf                           foafURL                                  data/ontologies/WP7-OSWF-DuplicateDetection.owl
hostname                       internalHostname                         data/ontologies/WP7-OSWF-DuplicateDetection.owl
hostname                       externalHostname                         data/ontologies/WP7-OSWF-DuplicateDetection.owl
timezone                       timezone                                 data/ontologies/WP7-OSWF-DuplicateDetection.owl
zipcode                        zipcode                                  data/ontologies/WP7-OSWF-DuplicateDetection.owl
postalbox                      postalbox                                data/ontologies/WP7-OSWF-DuplicateDetection.owl
hostname                       hostname                                 data/ontologies/WP7-OSWF-DuplicateDetection.owl
rssi                           rssi                                     data/ontologies/WP7-OSWF-DuplicateDetection.owl
load1                          avgLoad1Min                              data/ontologies/WP7-OSWF-DuplicateDetection.owl
ssid                           ssid                                     data/ontologies/WP7-OSWF-DuplicateDetection.owl
homepage                       homepageURL                              data/ontologies/WP7-OSWF-DuplicateDetection.owl
weblog                         weblogURL                                data/ontologies/WP7-OSWF-DuplicateDetection.owl
icq                            icqNumber                                data/ontologies/WP7-OSWF-DuplicateDetection.owl
load5                          avgLoad5Min                              data/ontologies/WP7-OSWF-DuplicateDetection.owl
skype                          skypeAddress                             data/ontologies/WP7-OSWF-DuplicateDetection.owl
