#! Version: 07/06/2019_16:37:26

#! Note: Asym = Asymmetric, Func = Functional, InFu = InverseFunctional, Irre = Irreflexive, Refl = Reflexive, Symm = Symmetric, Tran = Transitive, DoIns = Nb Domain Instances, RaIns = Nb Range Instances 

#! Columns: 
| Filename                            | ObjectProperty                      | Domain                              | Range                               | Asym? | Func? | InFu? | Irre? | Refl? | Symm? | Tran? | DoIns | RaIns | InverseOf                           | SubPropertyOf                       | 
| 2016_005_112_465537.owl             | hasMother                           | Thing                               | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | isMotherOf                          | hasFamilyRelation                   | 
| 2016_005_112_465537.owl             | hasUppermanagementEmployee          | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isUppermanagementEmployeeOf         | hasEmployee                         | 
| 2016_005_112_465537.owl             | hasCustomer                         | Actor                               | Actor                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | isCustomerOf                        | hasWorkRelation                     | 
| 2016_005_112_465537.owl             | hasSpouse                           | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     | isSpouseOf                          | hasFamilyRelation                   | 
| 2016_005_112_465537.owl             | hasAction                           | Event                               | Action                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     |                                     | 
| 2016_005_112_465537.owl             | isEmployeeOf                        | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 1     | 2     | 3     |                                     | isWorkRelationOf                    | 
| 2016_005_112_465537.owl             | istemporallySubsumedBy              | TemporalThing                       | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | temporallySubsumes                  | temporallyRelatedTo                 | 
| 2016_005_112_465537.owl             | hasTrustedBusinessPartner           | Organization                        | Actor                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 0     | isTrustedBusinessPartnerOf          | hasWorkRelation                     | 
| 2016_005_112_465537.owl             | isVendorOf                          | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isSalesEmployeeOf                   | 
| 2016_005_112_465537.owl             | isChiefExecutiveOfficerOf           | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isUppermanagementEmployeeOf         | 
| 2016_005_112_465537.owl             | hasColleague                        | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     | isColleagueOf                       | hasWorkRelation                     | 
| 2016_005_112_465537.owl             | isBrotherOf                         | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     |                                     | isFamilyRelationOf                  | 
| 2016_005_112_465537.owl             | isActorOf                           | Actor                               | Action                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     |                                     | 
| 2016_005_112_465537.owl             | hasTechnicalManager                 | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isTechnicalManagerOf                | hasManager                          | 
| 2016_005_112_465537.owl             | starts                              | TemporalThing                       | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 1     | 0     | 0     |                                     | temporallyRelatedTo                 | 
| 2016_005_112_465537.owl             | isWorkRelationOf                    | Actor                               | Actor                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     | isRelationOf                        | 
| 2016_005_112_465537.owl             | hasWorkRelation                     | Actor                               | Actor                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | isWorkRelationOf                    | hasRelation                         | 
| 2016_005_112_465537.owl             | hasRetailer                         | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isRetailerOf                        | hasSalesEmployee                    | 
| 2016_005_112_465537.owl             | isSecurityEmployeeOf                | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isEmployeeOf                        | 
| 2016_005_112_465537.owl             | isTechnicalManagerOf                | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isManagerOf                         | 
| 2016_005_112_465537.owl             | isManagerOf                         | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isEmployeeOf                        | 
| 2016_005_112_465537.owl             | startMeetsEndingOf                  | TemporalThing                       | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     | temporallyRelatedTo                 | 
| 2016_005_112_465537.owl             | hasCustomerServiceRepresentative    | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isCustomerServiceRepresentativeOf   | hasRepresentative                   | 
| 2016_005_112_465537.owl             | hasConsultant                       | Actor                               | Actor                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | isConsultantOf                      | hasWorkRelation                     | 
| 2016_005_112_465537.owl             | hasSource                           | DigitalAction                       | Asset                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     | hasLocation                         | 
| 2016_005_112_465537.owl             | hasHusband                          | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     | isHusbandOf                         | hasSpouse                           | 
| 2016_005_112_465537.owl             | isEducationEmployeeOf               | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isEmployeeOf                        | 
| 2016_005_112_465537.owl             | hasAnalyst                          | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isAnalystOf                         | hasTechnicalEmployee                | 
| 2016_005_112_465537.owl             | isSystemAdministratorOf             | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isTechnicalEmployeeOf               | 
| 2016_005_112_465537.owl             | hasSubcontractor                    | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isSubcontractorOf                   | hasExternalEmployee                 | 
| 2016_005_112_465537.owl             | isPoliceOfficerOf                   | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isSecurityEmployeeOf                | 
| 2016_005_112_465537.owl             | hasSystemAdministrator              | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isSystemAdministratorOf             | hasTechnicalEmployee                | 
| 2016_005_112_465537.owl             | hasSecurityEmployee                 | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isSecurityEmployeeOf                | hasEmployee                         | 
| 2016_005_112_465537.owl             | hasObject                           | Action                              | Asset                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     | topObjectProperty                   | 
| 2016_005_112_465537.owl             | isPartnerOf                         | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     |                                     | isFamilyRelationOf                  | 
| 2016_005_112_465537.owl             | isAccompliceOf                      | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     |                                     | isEventRelationOf                   | 
| 2016_005_112_465537.owl             | hasInformation                      | Asset                               | Information                         | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     |                                     | 
| 2016_005_112_465537.owl             | hasExternalEmployee                 | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isExternalEmployeeOf                | hasEmployee                         | 
| 2016_005_112_465537.owl             | isProfessorOf                       | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isEducationEmployeeOf               | 
| 2016_005_112_465537.owl             | isReferencedBy                      | Thing                               | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     | topObjectProperty                   | 
| 2016_005_112_465537.owl             | hasPoliceOfficer                    | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isPoliceOfficerOf                   | hasSecurityEmployee                 | 
| 2016_005_112_465537.owl             | isSalesEmployeeOf                   | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isEmployeeOf                        | 
| 2016_005_112_465537.owl             | takesPlaceAfter                     | TemporalThing                       | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | takesPlaceBefore                    | temporallyRelatedTo                 | 
