#! Version: 28/06/2019_11:36:29

# This file contains non-english words found when creating OPD.

Word                           ObjectProperty                                Filename                                
soundmix                       isSoundmixOf                                  movieontology.owl                       
regexp                         has_regexp                                    ms.owl                                  
iteam                          iteamLocated                                  RIMV3OWL.owl                            
pepeat                         actPepeatNbr                                  RIMV3OWL.owl                            
nbr                            actPepeatNbr                                  RIMV3OWL.owl                            
nbr                            rolePositionNbr                               RIMV3OWL.owl                            
rrisk                          entityRriskCd                                 RIMV3OWL.owl                            
evaulates                      evaulates                                     RIMV3OWL.owl                            
telecom                        roleTelecom                                   RIMV3OWL.owl                            
relatioship                    actRelatioshipConditional                     RIMV3OWL.owl                            
interrupble                    actInterrupbleInd                             RIMV3OWL.owl                            
telecom                        entityTelecom                                 RIMV3OWL.owl                            
expr                           actDerivationExpr                             RIMV3OWL.owl                            
orthologous                    orthologous_to                                so.owl                                  
paralogous                     paralogous_to                                 so.owl                                  
malware                        malware                                       STIX.owl                                
geolocation                    geolocation                                   STIX.owl                                
coa                            coaTaken                                      STIX.owl                                
targetting                     targetting                                    STIX.owl                                
coa                            coaType                                       STIX.owl                                
coa                            coaRequested                                  STIX.owl                                
elementof                      isSTElementof                                 strdfmining.owl                         
argument1                      argument1                                     swrl.owl                                
argument1                      argument1                                     swrli.owl                               
argument2                      argument2                                     swrli.owl                               
element2                       hasElement2PropertyValueMaps                  SWRLXML.owl                             
argument2                      argument2                                     SWRLXML.owl                             
attribute2                     hasAttribute2PropertyValueMaps                SWRLXML.owl                             
nonoverlap                     nonoverlap                                    time-entry.owl                          
inforce                        produce_inforce_modification                  time-modification.owl                   
uby                            hasUbyObjectProperty                          ubyCat.owl                              
uby                            hasUbyDatatypeProperty                        ubyCat.owl                              
hypernym                       hypernym                                      WordNet.owl                             
hypernym                       instance-hypernym                             WordNet.owl                             
holonym                        member-holonym                                WordNet.owl                             
holonym                        substance-holonym                             WordNet.owl                             
holonym                        part-holonym                                  WordNet.owl                             
meronym                        member-meronym                                WordNet.owl                             
meronym                        substance-meronym                             WordNet.owl                             
meronym                        part-meronym                                  WordNet.owl                             
pertainym                      pertainym                                     WordNet.owl                             
synset                         synset                                        WordNet.owl                             
aggregateinput                 aggregateinput                                wp1_dolce.owl                           
rssi                           rssi                                          WP7-OSWF-DuplicateDetection.owl         
postalbox                      postalbox                                     WP7-OSWF-DuplicateDetection.owl         
icq                            icqNumber                                     WP7-OSWF-DuplicateDetection.owl         
homepage                       homepageURL                                   WP7-OSWF-DuplicateDetection.owl         
foaf                           foafURL                                       WP7-OSWF-DuplicateDetection.owl         
skype                          skypeAddress                                  WP7-OSWF-DuplicateDetection.owl         
weblog                         weblogURL                                     WP7-OSWF-DuplicateDetection.owl         
load15                         avgLoad15Min                                  WP7-OSWF-DuplicateDetection.owl         
cellid                         cellid                                        WP7-OSWF-DuplicateDetection.owl         
timezone                       timezone                                      WP7-OSWF-DuplicateDetection.owl         
load1                          avgLoad1Min                                   WP7-OSWF-DuplicateDetection.owl         
hostname                       internalHostname                              WP7-OSWF-DuplicateDetection.owl         
load5                          avgLoad5Min                                   WP7-OSWF-DuplicateDetection.owl         
hostname                       hostname                                      WP7-OSWF-DuplicateDetection.owl         
hostname                       externalHostname                              WP7-OSWF-DuplicateDetection.owl         
ssid                           ssid                                          WP7-OSWF-DuplicateDetection.owl         
zipcode                        zipcode                                       WP7-OSWF-DuplicateDetection.owl         
